Label,SizeCap,PenaltyAlpha,Threshold,MeanReward,AvgSize,NumCoalitions
cap=4_penalty=0.0_thresh=none,4,0.0,0,660.99,3.79,185
cap=4_penalty=0.0_thresh=500,4,0.0,500,920.82,3.42,134
cap=4_penalty=0.0_thresh=800,4,0.0,800,757.12,3.38,168
cap=4_penalty=1.0_thresh=none,4,1.0,0,741.49,3.37,118
cap=4_penalty=1.0_thresh=500,4,1.0,500,582.16,3.53,111
cap=4_penalty=1.0_thresh=800,4,1.0,800,924.0,4.0,197
cap=6_penalty=0.0_thresh=none,6,0.0,0,603.32,4.61,146
cap=6_penalty=0.0_thresh=500,6,0.0,500,823.04,4.37,197
cap=6_penalty=0.0_thresh=800,6,0.0,800,580.76,5.43,179
cap=6_penalty=1.0_thresh=none,6,1.0,0,478.15,4.46,182
cap=6_penalty=1.0_thresh=500,6,1.0,500,416.23,5.06,196
cap=6_penalty=1.0_thresh=800,6,1.0,800,996.6,4.66,195
cap=8_penalty=0.0_thresh=none,8,0.0,0,610.94,7.96,174
cap=8_penalty=0.0_thresh=500,8,0.0,500,701.78,5.31,146
cap=8_penalty=0.0_thresh=800,8,0.0,800,680.7,3.19,196
cap=8_penalty=1.0_thresh=none,8,1.0,0,917.93,6.62,196
cap=8_penalty=1.0_thresh=500,8,1.0,500,472.62,4.39,147
cap=8_penalty=1.0_thresh=800,8,1.0,800,455.87,4.34,138
