Country,ClusterLabel
Zimbabwe,Eastern Africa(10) + 29 more
Botswana,Eastern Africa(10) + 29 more
Afghanistan,Eastern Africa(10) + 29 more
Andorra,Eastern Africa(10) + 29 more
Bhutan,Eastern Africa(10) + 29 more
Bolivia,Eastern Africa(10) + 29 more
"Congo, Democratic Republic of",Eastern Africa(10) + 29 more
Burundi,Eastern Africa(10) + 29 more
Haiti,Eastern Africa(10) + 29 more
Burkina Faso,Eastern Africa(10) + 29 more
Lesotho,Eastern Africa(10) + 29 more
Malawi,Eastern Africa(10) + 29 more
Mali,Eastern Africa(10) + 29 more
Micronesia,Eastern Africa(10) + 29 more
Nauru,Eastern Africa(10) + 29 more
Nepal,Eastern Africa(10) + 29 more
"Korea, Democratic People's Republic",Eastern Africa(10) + 29 more
Iraq,Eastern Africa(10) + 29 more
Guinea-Bissau,Eastern Africa(10) + 29 more
Eritrea,Eastern Africa(10) + 29 more
Chad,Eastern Africa(10) + 29 more
Uganda,Eastern Africa(10) + 29 more
Holy See,Eastern Africa(10) + 29 more
Uzbekistan,Eastern Africa(10) + 29 more
Rwanda,Eastern Africa(10) + 29 more
Paraguay,Eastern Africa(10) + 29 more
San Marino,Eastern Africa(10) + 29 more
Sao Tome and Principe,Eastern Africa(10) + 29 more
Solomon Islands,Eastern Africa(10) + 29 more
Somalia,Eastern Africa(10) + 29 more
Zambia,Eastern Africa(10) + 29 more
Sudan,Eastern Africa(10) + 29 more
South Sudan,Eastern Africa(10) + 29 more
Timor-Leste,Eastern Africa(10) + 29 more
Swaziland,Eastern Africa(10) + 29 more
Niger,Eastern Africa(10) + 29 more
Equatorial Guinea,Eastern Africa(10) + 29 more
Central African Republic,Eastern Africa(10) + 29 more
Ethiopia,Eastern Africa(10) + 29 more
Georgia,Eastern Europe(4) + 7 more
Azerbaijan,Eastern Europe(4) + 7 more
Kazakhstan,Eastern Europe(4) + 7 more
Ukraine,Eastern Europe(4) + 7 more
Russian Federation,Eastern Europe(4) + 7 more
Tajikistan,Eastern Europe(4) + 7 more
Moldova,Eastern Europe(4) + 7 more
Armenia,Eastern Europe(4) + 7 more
Belarus,Eastern Europe(4) + 7 more
Turkmenistan,Eastern Europe(4) + 7 more
Kyrgyzstan,Eastern Europe(4) + 7 more
Algeria,Northern Africa(5) + 5 more
Lebanon,Northern Africa(5) + 5 more
Israel,Northern Africa(5) + 5 more
Libya,Northern Africa(5) + 5 more
Monaco,Northern Africa(5) + 5 more
Egypt,Northern Africa(5) + 5 more
Tunisia,Northern Africa(5) + 5 more
Syria,Northern Africa(5) + 5 more
Morocco,Northern Africa(5) + 5 more
Turkey,Northern Africa(5) + 5 more
Belgium,Northern Europe(7) + 7 more
Germany,Northern Europe(7) + 7 more
Netherlands,Northern Europe(7) + 7 more
Denmark,Northern Europe(7) + 7 more
Finland,Northern Europe(7) + 7 more
France,Northern Europe(7) + 7 more
Ireland,Northern Europe(7) + 7 more
Italy,Northern Europe(7) + 7 more
Iceland,Northern Europe(7) + 7 more
Norway,Northern Europe(7) + 7 more
Spain,Northern Europe(7) + 7 more
Portugal,Northern Europe(7) + 7 more
United Kingdom,Northern Europe(7) + 7 more
Sweden,Northern Europe(7) + 7 more
Chile,South America(6) + 12 more
Ecuador,South America(6) + 12 more
South Africa,South America(6) + 12 more
Canada,South America(6) + 12 more
Papua New Guinea,South America(6) + 12 more
USSR,South America(6) + 12 more
China,South America(6) + 12 more
Fiji,South America(6) + 12 more
Argentina,South America(6) + 12 more
Brazil,South America(6) + 12 more
Peru,South America(6) + 12 more
Australia,South America(6) + 12 more
Samoa,South America(6) + 12 more
United States,South America(6) + 12 more
Uruguay,South America(6) + 12 more
"Korea, Republic of",South America(6) + 12 more
Japan,South America(6) + 12 more
New Zealand,South America(6) + 12 more
East Germany,South-Eastern Asia(3) + 8 more
Czechoslovakia,South-Eastern Asia(3) + 8 more
Cote d'ivoire,South-Eastern Asia(3) + 8 more
"South Moluccas, Republic of the ",South-Eastern Asia(3) + 8 more
South Vietnam,South-Eastern Asia(3) + 8 more
Republic of South Maluku,South-Eastern Asia(3) + 8 more
South Yemen,South-Eastern Asia(3) + 8 more
Papua new guinea,South-Eastern Asia(3) + 8 more
Sao tome and principe,South-Eastern Asia(3) + 8 more
Yugoslavia,South-Eastern Asia(3) + 8 more
Kosovo,South-Eastern Asia(3) + 8 more
Switzerland,Southern Europe(9) + 14 more
Slovakia,Southern Europe(9) + 14 more
Cyprus,Southern Europe(9) + 14 more
Croatia,Southern Europe(9) + 14 more
Latvia,Southern Europe(9) + 14 more
Liechtenstein,Southern Europe(9) + 14 more
Greece,Southern Europe(9) + 14 more
Poland,Southern Europe(9) + 14 more
Macedonia,Southern Europe(9) + 14 more
Malta,Southern Europe(9) + 14 more
Montenegro,Southern Europe(9) + 14 more
Lithuania,Southern Europe(9) + 14 more
Luxembourg,Southern Europe(9) + 14 more
Romania,Southern Europe(9) + 14 more
Czech Republic,Southern Europe(9) + 14 more
Estonia,Southern Europe(9) + 14 more
Bulgaria,Southern Europe(9) + 14 more
Albania,Southern Europe(9) + 14 more
Bosnia and Herzegovina,Southern Europe(9) + 14 more
Austria,Southern Europe(9) + 14 more
Serbia,Southern Europe(9) + 14 more
Slovenia,Southern Europe(9) + 14 more
Hungary,Southern Europe(9) + 14 more
Saint Lucia,Western Africa(12) + 68 more
Suriname,Western Africa(12) + 68 more
Thailand,Western Africa(12) + 68 more
Vanuatu,Western Africa(12) + 68 more
Pakistan,Western Africa(12) + 68 more
Oman,Western Africa(12) + 68 more
Nicaragua,Western Africa(12) + 68 more
United Arab Emirates,Western Africa(12) + 68 more
Singapore,Western Africa(12) + 68 more
Sierra Leone,Western Africa(12) + 68 more
Sri Lanka,Western Africa(12) + 68 more
Trinidad and Tobago,Western Africa(12) + 68 more
Tonga,Western Africa(12) + 68 more
Tuvalu,Western Africa(12) + 68 more
Gambia,Western Africa(12) + 68 more
Guinea,Western Africa(12) + 68 more
Ghana,Western Africa(12) + 68 more
Grenada,Western Africa(12) + 68 more
Guatemala,Western Africa(12) + 68 more
Kenya,Western Africa(12) + 68 more
Kiribati,Western Africa(12) + 68 more
Jordan,Western Africa(12) + 68 more
Honduras,Western Africa(12) + 68 more
Comoros,Western Africa(12) + 68 more
Guyana,Western Africa(12) + 68 more
India,Western Africa(12) + 68 more
Kuwait,Western Africa(12) + 68 more
Liberia,Western Africa(12) + 68 more
Myanmar,Western Africa(12) + 68 more
Mongolia,Western Africa(12) + 68 more
Mozambique,Western Africa(12) + 68 more
Mauritius,Western Africa(12) + 68 more
Mexico,Western Africa(12) + 68 more
Mauritania,Western Africa(12) + 68 more
Panama,Western Africa(12) + 68 more
Marshall Islands,Western Africa(12) + 68 more
Namibia,Western Africa(12) + 68 more
