ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,34.78230852,34.77591291,34.85503613,35.02530797,35.01915049,35.01572437,35.41938907,35.82817988,36.59156502,36.24738475,33.28604272,31.45342615,31.35267602,31.0517326,31.04514634,31.80942855,30.98616198,32.07781473,31.9227797,32.87312585,33.02857874,33.31460463,32.55337333,32.43358568,32.9906447,32.72233541,33.00663076,33.20745628
ALB,Albania,43.67662257,43.65950336,43.59664926,43.34295709,43.05150358,43.19100939,43.41122356,43.83352288,43.80753658,44.47926376,44.12110785,43.59427127,44.24745394,45.03890805,46.04021755,46.57192572,46.62894479,47.40779138,48.03515867,49.50667562,49.96319918,49.62552839,49.57515268,50.10058985,50.02570686,50.3446072,51.18779172,51.75717999
DZA,Algeria,45.11279239,45.22543025,45.12291994,45.12140908,45.45173398,45.73127075,45.94394816,46.13817505,46.59356308,47.17527571,47.36639621,45.8413459,45.85364744,46.01029986,45.79865783,45.31196737,44.84957188,44.92751702,45.65835345,45.58732054,45.80952768,46.30523142,47.35397468,47.36123554,47.38204084,48.65435167,48.27418489,48.66650113
AND,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,34.72315291,34.71267093,34.65600673,34.59863768,34.63377525,34.66488583,34.94618819,35.43765372,36.10147597,36.15045192,35.61475181,34.30310557,34.67373483,34.96554299,35.15958756,34.36833291,34.31826587,35.10944191,35.45180391,35.60440726,35.2905202,36.632381,36.70460511,37.16302564,37.34785969,37.35887935,37.87058687,38.07951616
ATG,Antigua and Barbuda,48.44743829,48.49028473,48.58047257,48.62507201,48.64190446,48.76403888,48.86648768,49.1051068,49.30910862,49.35924541,49.97515307,49.17462891,49.34829499,49.7134904,49.90318411,50.30628429,49.86210251,50.105227,50.02065261,49.17998022,49.34582557,49.12422352,48.29052267,48.80475132,49.29545068,49.06162194,48.85487278,49.0753984
ARG,Argentina,49.10275375,49.24868237,48.98240082,48.80182906,48.84572494,48.95283421,47.59966769,46.62532481,47.21256789,47.13617571,48.52729719,47.4007225,47.98368827,47.6045556,47.48356441,47.94576882,48.03624849,47.7785865,47.36500997,46.9467432,47.1286098,48.88528009,49.02916822,50.22120353,50.21362385,50.57627982,50.21558288,50.20610221
ARM,Armenia,48.7226174,49.03365826,48.52934266,49.02966509,49.53076014,49.6498563,49.84793972,51.59834659,52.3070569,51.58972963,52.46420486,51.7336103,51.98775738,53.30626662,53.05835708,53.39010282,53.34223321,53.73076736,54.52852741,55.39028173,55.73203469,56.21120887,56.32812851,56.52220856,57.0300298,56.60189532,56.92060629,56.95075776
AUS,Australia,63.54614859,63.12357517,63.15906716,63.34219168,63.68878107,64.10011688,64.43063973,64.55171671,64.83830395,65.35242702,65.6036205,67.82116188,68.20885521,68.66950849,68.27343027,68.66772553,68.87548904,69.01818219,69.62487796,69.73484981,69.54127708,69.46706614,68.94633659,69.78714797,69.84864264,69.19739744,69.78422352,69.54741546
AUT,Austria,64.88452457,65.17085353,65.30246555,65.32465889,65.62830604,65.85717159,66.28673806,66.58675182,66.44649117,66.76512277,67.22622818,68.72991842,69.36945136,69.21092965,68.36292314,68.79643379,68.76891932,69.21930545,69.89379543,70.43288021,70.41068392,69.61610772,69.81260667,69.85941099,69.60542581,69.61989375,69.61003231,68.98539992
