Score,Coalition
105352.47468313607,"['Mauritius', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
105352.47468313607,"['Jamaica', 'Mauritius', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
105198.57385892507,"['Nigeria', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
105198.57385892507,"['Ireland', 'Greece', 'Tunisia', 'Nigeria', 'Jamaica', 'Uruguay']"
105046.80339110334,"['Kenya', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
104595.71987553313,"['Ghana', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
104531.24989168099,"['Trinidad and Tobago', 'Nigeria', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
104311.26024387847,"['Panama', 'Ghana', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
104191.0251291614,"['Spain', 'Greece', 'Morocco', 'Nigeria', 'Uruguay', 'Trinidad and Tobago']"
104191.0251291614,"['Greece', 'Spain', 'Morocco', 'Nigeria', 'Uruguay', 'Trinidad and Tobago']"
104047.46649921355,"['Sri Lanka', 'Tunisia', 'Ireland', 'Greece', 'Jamaica', 'Uruguay']"
103920.59543610313,"['Bahamas', 'Nigeria', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
103503.27242415494,"['Liberia', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
103491.98992571936,"['Benin', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
103450.50242833252,"['Mauritania', 'Tunisia', 'Ireland', 'Greece', 'Jamaica', 'Uruguay']"
103222.91954528357,"[""Cote d'Ivoire"", 'Portugal', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
103049.99602377266,"['Morocco', 'Spain', 'Croatia', 'Nigeria', 'Trinidad and Tobago', 'Uruguay']"
103049.99602377266,"['Croatia', 'Spain', 'Morocco', 'Nigeria', 'Trinidad and Tobago', 'Uruguay']"
102772.4582694716,"['Uruguay', 'Norway', 'Bulgaria', 'Tunisia', 'Ghana', 'Panama']"
102772.4582694716,"['Norway', 'Bulgaria', 'Uruguay', 'Tunisia', 'Ghana', 'Panama']"
102668.0178886797,"['Jordan', 'Tunisia', 'Ireland', 'Greece', 'Jamaica', 'Uruguay']"
102555.61985341526,"['Tunisia', 'Cyprus', 'Spain', 'Nigeria', 'Uruguay', 'Panama']"
102482.21965724489,"['Saint Lucia', 'Ghana', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
102325.00959290507,"['Cyprus', 'Spain', 'Morocco', 'Nigeria', 'Barbados', 'Uruguay']"
101698.12539656606,"['Tonga', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
101668.24143749094,"['Albania', 'Spain', 'Morocco', 'Nigeria', 'Uruguay', 'Trinidad and Tobago']"
101661.90002875455,"['Bangladesh', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
101630.17053872746,"['Cameroon', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
101472.60097927783,"['Congo, Republic of the', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
101308.90869881058,"['Oman', 'Jamaica', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
101090.13433341266,"['Venezuela', 'Uruguay', 'Norway', 'Greece', 'Tunisia', 'Nigeria']"
100856.49863526235,"['Dominican Republic', 'Sri Lanka', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
100789.41015396774,"['Saint Kitts and Nevis', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
100789.41015396774,"['Antigua and Barbuda', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
100686.97563698963,"['Sweden', 'Bulgaria', 'Tunisia', 'Nigeria', 'Uruguay', 'Panama']"
100686.97563698963,"['Bulgaria', 'Sweden', 'Tunisia', 'Nigeria', 'Uruguay', 'Panama']"
100618.4733114041,"['Egypt', 'Spain', 'Croatia', 'Nigeria', 'Trinidad and Tobago', 'Uruguay']"
100597.17138034028,"['Portugal', 'Poland', 'Morocco', 'Nigeria', 'Jamaica', 'Uruguay']"
100571.6543279546,"['Pakistan', 'Uruguay', 'Norway', 'Bulgaria', 'Tunisia', 'Panama']"
100479.38998952939,"['Slovenia', 'Spain', 'Morocco', 'Nigeria', 'Trinidad and Tobago', 'Uruguay']"
100402.4156714963,"['Iran', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
100363.63522703022,"['Barbados', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
100217.62719978421,"['Guatemala', 'Uruguay', 'Ghana', 'Norway', 'Greece', 'Tunisia']"
100200.69773356972,"['Estonia', 'Finland', 'Mauritius', 'Tunisia', 'Jamaica', 'Uruguay']"
100119.91458149998,"['Papua New Guinea', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
100099.88403708358,"['Nicaragua', 'Mauritania', 'Tunisia', 'Ireland', 'Greece', 'Uruguay']"
100034.31915826348,"['Bahrain', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
99917.67483814963,"['Philippines', 'Trinidad and Tobago', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
99802.3528837455,"['Senegal', 'Mali', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99802.3528837455,"['Mali', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99733.07669452645,"['Qatar', 'Ireland', 'Greece', 'Tunisia', 'Jamaica', 'Uruguay']"
99707.77705082348,"['Malta', 'Spain', 'Morocco', 'Nigeria', 'Barbados', 'Uruguay']"
99616.05521527215,"['Sierra Leone', 'Saint Kitts and Nevis', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
99577.77018466004,"['Denmark', 'Switzerland', 'Kenya', 'Tunisia', 'Jamaica', 'Uruguay']"
99577.382740108,"['Hungary', 'Norway', 'Morocco', 'Ghana', 'Uruguay', 'Panama']"
99523.88351334762,"['Cuba', 'Pakistan', 'Uruguay', 'Norway', 'Bulgaria', 'Tunisia']"
99445.78734243609,"['Djibouti', 'Egypt', 'Spain', 'Greece', 'Uruguay', 'Jamaica']"
99427.42716262005,"['New Zealand', 'Sweden', 'Bulgaria', 'Uruguay', 'Tunisia', 'Panama']"
99418.34321086181,"['Belgium', 'Switzerland', 'Kenya', 'Tunisia', 'Uruguay', 'Panama']"
99370.28405460148,"['Finland', 'Bulgaria', 'Tunisia', 'Nigeria', 'Uruguay', 'Panama']"
99356.19936348409,"['Georgia', 'Ireland', 'Bulgaria', 'Tunisia', 'Nigeria', 'Jamaica']"
99291.93685518362,"['Namibia', 'Jamaica', 'Ireland', 'Greece', 'Tunisia', 'Uruguay']"
99290.51309002738,"['Niger', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99241.2121546116,"['Burkina Faso', 'Senegal', 'Tunisia', 'Ireland', 'Greece', 'Jamaica']"
99190.36105734415,"['Cape Verde', 'Trinidad and Tobago', 'Uruguay', 'Norway', 'Greece', 'Tunisia']"
98965.54796564019,"['Poland', 'Sweden', 'New Zealand', 'Morocco', 'Uruguay', 'Jamaica']"
98959.53958466923,"['Belize', 'Antigua and Barbuda', 'Ireland', 'Greece', 'Morocco', 'Uruguay']"
