Coalition,Size,RecomputedScore,ReferenceScore,ScoreError,RelError
"['Somalia', 'Zimbabwe']",2,2847.6967287776483,2847.6967287776483,0.0,0.0
"['Luxembourg', 'Mozambique']",2,8040.766980227075,8040.766980227075,0.0,0.0
"['Serbia', 'Zambia']",2,5514.813617047202,5514.813617047202,0.0,0.0
"['Belgium', 'Norway']",2,9106.888921397454,9106.888921397454,0.0,0.0
"['Belgium', 'Oman']",2,10087.424795137373,10087.424795137373,0.0,0.0
"['Ireland', 'Tajikistan']",2,6167.775116065185,6167.775116065185,0.0,0.0
"['Bosnia and Herzegovina', 'Israel']",2,7461.653228847013,7461.653228847013,0.0,0.0
"['Kiribati', 'Saint Vincent and the Grenadines']",2,8672.395550287432,8672.395550287432,0.0,0.0
"['Monaco', 'Serbia']",2,8112.964895658676,8112.964895658676,0.0,0.0
"['Egypt', 'Lesotho']",2,7052.854541402816,7052.854541402816,0.0,0.0
"['Croatia', 'Serbia']",2,6583.903071789675,6583.903071789675,0.0,0.0
"['Estonia', 'Trinidad and Tobago']",2,9674.621779385063,9674.621779385065,-1.8189894035458565e-12,1.8801659072831208e-16
"['Israel', 'Tonga']",2,7085.0066386914095,7085.0066386914095,0.0,0.0
"['Cuba', 'Yemen']",2,8665.040868144917,8665.040868144917,0.0,0.0
"['El Salvador', 'Sri Lanka']",2,9752.478750523467,9752.478750523467,0.0,0.0
"['Fiji', 'Gabon']",2,4577.557844874352,4577.557844874352,0.0,0.0
"['Malawi', 'Marshall Islands']",2,6793.973439437737,6793.973439437737,0.0,0.0
"['Chad', 'Philippines']",2,6892.862855326685,6892.862855326685,0.0,0.0
"['Peru', 'Seychelles']",2,9830.28866188271,9830.28866188271,0.0,0.0
"['Guinea-Bissau', 'Spain']",2,8402.470111498369,8402.470111498369,0.0,0.0
"['Cambodia', 'Mauritius']",2,5126.70548509073,5126.70548509073,0.0,0.0
"['Azerbaijan', 'El Salvador']",2,7680.893502711778,7680.893502711778,0.0,0.0
"['Liberia', 'Samoa']",2,4952.036203542894,4952.036203542894,0.0,0.0
"['Israel', 'Turkmenistan']",2,5056.2123233526845,5056.2123233526845,0.0,0.0
"['Palau', 'Solomon Islands']",2,3942.806451612907,3942.806451612907,0.0,0.0
"['Guinea-Bissau', 'Mauritius']",2,9541.811794439927,9541.811794439927,0.0,0.0
"['Lebanon', 'Philippines']",2,8808.324324324327,8808.324324324327,0.0,0.0
"['Egypt', 'Hungary']",2,8770.291662379415,8770.291662379415,0.0,0.0
"['Barbados', 'Greece']",2,10260.040821048335,10260.040821048337,-1.8189894035458565e-12,1.7728871017883514e-16
"['Dominica', 'Iraq']",2,5924.005541938626,5924.005541938626,0.0,0.0
"['Bahrain', 'Seychelles']",2,5141.365505197592,5141.365505197592,0.0,0.0
"['Swaziland', 'Tuvalu']",2,4934.516875544256,4934.516875544256,0.0,0.0
"['Bulgaria', 'Jordan']",2,9853.645239019112,9853.645239019112,0.0,0.0
"['New Zealand', 'Trinidad and Tobago']",2,9790.741342670115,9790.741342670117,-1.8189894035458565e-12,1.8578668763501252e-16
"['Djibouti', 'Malaysia']",2,5485.847228990235,5485.847228990235,0.0,0.0
"['Chad', 'Grenada']",2,6278.066210786457,6278.066210786457,0.0,0.0
"['Georgia', ""Korea, Democratic People's Republic""]",2,6505.826359762201,6505.826359762201,0.0,0.0
"['Cape Verde', 'Tunisia']",2,10205.54522040977,10205.54522040977,0.0,0.0
"['Mauritius', 'Panama']",2,10782.021645106985,10782.021645106985,0.0,0.0
"['Bahamas', 'Zambia']",2,6937.440834582546,6937.440834582546,0.0,0.0
"['Serbia', 'Ukraine']",2,8835.816352515749,8835.816352515749,0.0,0.0
"['Marshall Islands', 'Micronesia']",2,3539.961245534058,3539.961245534058,0.0,0.0
"['Liechtenstein', 'Slovakia']",2,3936.0829839279,3936.0829839279,0.0,0.0
"['Greece', 'Swaziland']",2,8108.546966654859,8108.546966654859,0.0,0.0
"['Azerbaijan', 'Belarus']",2,4779.553394635727,4779.553394635727,0.0,0.0
"['Micronesia', 'Saint Kitts and Nevis']",2,4724.301340716395,4724.301340716395,0.0,0.0
"['Cameroon', 'Mauritius']",2,6315.078148165856,6315.078148165856,0.0,0.0
"['Guyana', 'Libya']",2,7377.806289204519,7377.806289204519,0.0,0.0
"['Antigua and Barbuda', 'Serbia']",2,7240.20165518146,7240.20165518146,0.0,0.0
"['Greece', 'Syria']",2,11447.508886732754,11447.508886732754,0.0,0.0
"['Bolivia', 'Croatia']",2,7466.729767227217,7466.729767227217,0.0,0.0
"['Cameroon', 'Mozambique']",2,5817.413299356318,5817.413299356318,0.0,0.0
"['Cuba', 'Luxembourg']",2,7235.131636166567,7235.131636166567,0.0,0.0
"['Central African Republic', 'Papua New Guinea']",2,8361.180957768287,8361.180957768287,0.0,0.0
"['Honduras', 'Mongolia']",2,8942.301048015175,8942.301048015175,0.0,0.0
"['Serbia', 'Syria']",2,8307.692307692314,8307.692307692314,0.0,0.0
"['Congo, Republic of the', 'Madagascar']",2,5638.2078930100615,5638.2078930100615,0.0,0.0
"['Comoros', 'Monaco']",2,7451.041862491535,7451.041862491535,0.0,0.0
"['Botswana', 'Madagascar']",2,9180.159264479682,9180.159264479682,0.0,0.0
"['Kosovo', 'Ukraine']",2,-3619.999999999999,-3619.999999999999,0.0,0.0
"['Ghana', 'Kosovo']",2,-4579.0,-4579.0,0.0,0.0
"['Georgia', 'Timor-Leste']",2,4603.223054090938,4603.223054090938,0.0,0.0
"[""Korea, Democratic People's Republic"", 'Zimbabwe']",2,2782.177167293592,2782.177167293592,0.0,0.0
"['Namibia', 'Tuvalu']",2,2966.3473160656645,2966.3473160656645,0.0,0.0
"['Barbados', 'Turkmenistan']",2,6082.9477803937025,6082.947780393703,-9.094947017729282e-13,1.495154544486429e-16
"['Antigua and Barbuda', 'Libya']",2,6367.548133570203,6367.548133570203,0.0,0.0
"['Albania', 'Austria']",2,5146.633934635612,5146.633934635612,0.0,0.0
"['Kenya', 'Mali']",2,10481.107343312327,10481.107343312327,0.0,0.0
"['Mozambique', 'Sierra Leone']",2,4274.205128205132,4274.205128205132,0.0,0.0
"['Bulgaria', 'Cuba']",2,8748.172208887287,8748.172208887287,0.0,0.0
"['Azerbaijan', 'Pakistan']",2,7741.982147200264,7741.982147200264,0.0,0.0
"['Eritrea', 'Swaziland']",2,4044.8945858361135,4044.8945858361135,0.0,0.0
"['Suriname', 'Uganda']",2,6689.2749156057025,6689.274915605703,-9.094947017729282e-13,1.3596312204946578e-16
"['Eritrea', 'Libya']",2,6617.975613023586,6617.975613023586,0.0,0.0
"['Cape Verde', 'Marshall Islands']",2,3849.3008330378407,3849.3008330378407,0.0,0.0
"['Cambodia', 'Costa Rica']",2,8397.788178896815,8397.788178896815,0.0,0.0
"['Tajikistan', 'Uganda']",2,6030.641848381337,6030.641848381337,0.0,0.0
"['Afghanistan', 'Chad']",2,4095.0593545006336,4095.0593545006336,0.0,0.0
"['Algeria', 'Equatorial Guinea']",2,7342.76860591426,7342.76860591426,0.0,0.0
"['Maldives', 'Morocco']",2,9817.360202345266,9817.360202345266,0.0,0.0
