Score,Coalition,HAC,AOSIS,FFTreaty
105352.47468313607,"['Greece', 'Ireland', 'Jamaica', 'Mauritius', 'Tunisia', 'Uruguay']",True,True,False
105198.57385892507,"['Greece', 'Ireland', 'Jamaica', 'Nigeria', 'Tunisia', 'Uruguay']",True,True,False
105046.80339110334,"['Greece', 'Ireland', 'Jamaica', 'Kenya', 'Tunisia', 'Uruguay']",True,True,False
104595.71987553313,"['Ghana', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
104531.24989168099,"['Greece', 'Ireland', 'Nigeria', 'Trinidad and Tobago', 'Tunisia', 'Uruguay']",True,True,False
104311.26024387847,"['Ghana', 'Greece', 'Norway', 'Panama', 'Tunisia', 'Uruguay']",True,False,False
104191.0251291614,"['Greece', 'Morocco', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
104047.46649921355,"['Greece', 'Ireland', 'Jamaica', 'Sri Lanka', 'Tunisia', 'Uruguay']",True,True,False
103920.59543610313,"['Bahamas', 'Greece', 'Ireland', 'Nigeria', 'Tunisia', 'Uruguay']",True,True,False
103503.27242415494,"['Greece', 'Ireland', 'Jamaica', 'Liberia', 'Tunisia', 'Uruguay']",True,True,False
103491.98992571936,"['Benin', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
103450.50242833252,"['Greece', 'Ireland', 'Jamaica', 'Mauritania', 'Tunisia', 'Uruguay']",True,True,False
103222.91954528357,"[""Cote d'Ivoire"", 'Greece', 'Jamaica', 'Portugal', 'Tunisia', 'Uruguay']",True,True,False
103049.99602377266,"['Croatia', 'Morocco', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
102772.4582694716,"['Bulgaria', 'Ghana', 'Norway', 'Panama', 'Tunisia', 'Uruguay']",True,False,False
102668.0178886797,"['Greece', 'Ireland', 'Jamaica', 'Jordan', 'Tunisia', 'Uruguay']",True,True,False
102555.61985341526,"['Cyprus', 'Nigeria', 'Panama', 'Spain', 'Tunisia', 'Uruguay']",True,False,False
102482.21965724489,"['Ghana', 'Greece', 'Ireland', 'Saint Lucia', 'Tunisia', 'Uruguay']",True,True,False
102325.00959290507,"['Barbados', 'Cyprus', 'Morocco', 'Nigeria', 'Spain', 'Uruguay']",True,True,True
101698.12539656606,"['Greece', 'Ireland', 'Morocco', 'Saint Kitts and Nevis', 'Tonga', 'Uruguay']",True,True,True
101668.24143749094,"['Albania', 'Morocco', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
101661.90002875455,"['Bangladesh', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
101630.17053872746,"['Cameroon', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
101472.60097927783,"['Congo, Republic of the', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
101308.90869881058,"['Greece', 'Ireland', 'Jamaica', 'Morocco', 'Oman', 'Uruguay']",True,True,False
101090.13433341266,"['Greece', 'Nigeria', 'Norway', 'Tunisia', 'Uruguay', 'Venezuela']",True,False,False
100856.49863526235,"['Dominican Republic', 'Greece', 'Ireland', 'Sri Lanka', 'Tunisia', 'Uruguay']",True,False,False
100789.41015396774,"['Antigua and Barbuda', 'Greece', 'Ireland', 'Morocco', 'Saint Kitts and Nevis', 'Uruguay']",True,True,False
100686.97563698963,"['Bulgaria', 'Nigeria', 'Panama', 'Sweden', 'Tunisia', 'Uruguay']",True,False,False
100618.4733114041,"['Croatia', 'Egypt', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
100597.17138034028,"['Jamaica', 'Morocco', 'Nigeria', 'Poland', 'Portugal', 'Uruguay']",True,True,False
100571.6543279546,"['Bulgaria', 'Norway', 'Pakistan', 'Panama', 'Tunisia', 'Uruguay']",True,False,False
100479.38998952939,"['Morocco', 'Nigeria', 'Slovenia', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
100402.4156714963,"['Greece', 'Iran', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
100363.63522703022,"['Antigua and Barbuda', 'Barbados', 'Greece', 'Ireland', 'Morocco', 'Uruguay']",True,True,True
100217.62719978421,"['Ghana', 'Greece', 'Guatemala', 'Norway', 'Tunisia', 'Uruguay']",True,False,False
100200.69773356972,"['Estonia', 'Finland', 'Jamaica', 'Mauritius', 'Tunisia', 'Uruguay']",True,True,False
100119.91458149998,"['Greece', 'Ireland', 'Jamaica', 'Papua New Guinea', 'Tunisia', 'Uruguay']",True,True,True
100099.88403708358,"['Greece', 'Ireland', 'Mauritania', 'Nicaragua', 'Tunisia', 'Uruguay']",True,False,False
100034.31915826348,"['Bahrain', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
99917.67483814963,"['Greece', 'Norway', 'Philippines', 'Trinidad and Tobago', 'Tunisia', 'Uruguay']",True,True,False
