Label,SizeCap,PenaltyAlpha,Threshold,MeanReward,AvgSize,NumCoalitions
cap=4_penalty=0.0_thresh=none,4,0.0,0,15335.46,2.95,500
cap=4_penalty=0.0_thresh=2000,4,0.0,2000,16317.99,3.02,499
cap=4_penalty=0.0_thresh=5000,4,0.0,5000,15644.21,3.05,474
cap=4_penalty=1.0_thresh=none,4,1.0,0,5060.61,3.02,500
cap=4_penalty=1.0_thresh=2000,4,1.0,2000,4902.63,2.93,490
cap=4_penalty=1.0_thresh=5000,4,1.0,5000,6510.84,3.43,275
cap=6_penalty=0.0_thresh=none,6,0.0,0,25202.12,4.02,500
cap=6_penalty=0.0_thresh=2000,6,0.0,2000,25506.12,4.02,500
cap=6_penalty=0.0_thresh=5000,6,0.0,5000,25782.4,4.11,473
cap=6_penalty=1.0_thresh=none,6,1.0,0,6038.96,3.96,500
cap=6_penalty=1.0_thresh=2000,6,1.0,2000,6032.76,4.01,492
cap=6_penalty=1.0_thresh=5000,6,1.0,5000,7275.78,4.7,300
cap=8_penalty=0.0_thresh=none,8,0.0,0,35669.6,5.01,500
cap=8_penalty=0.0_thresh=2000,8,0.0,2000,37792.32,5.12,498
cap=8_penalty=0.0_thresh=5000,8,0.0,5000,36100.38,5.03,486
cap=8_penalty=1.0_thresh=none,8,1.0,0,6865.89,5.08,500
cap=8_penalty=1.0_thresh=2000,8,1.0,2000,6962.04,5.09,497
cap=8_penalty=1.0_thresh=5000,8,1.0,5000,7863.78,5.86,367
