Country,ClusterLabel
Panama,Caribbean(11) + 12 more
Saint Vincent and the Grenadines,Caribbean(11) + 12 more
Saint Lucia,Caribbean(11) + 12 more
Saint Kitts and Nevis,Caribbean(11) + 12 more
Jamaica,Caribbean(11) + 12 more
Suriname,Caribbean(11) + 12 more
El Salvador,Caribbean(11) + 12 more
Dominican Republic,Caribbean(11) + 12 more
Nicaragua,Caribbean(11) + 12 more
Costa Rica,Caribbean(11) + 12 more
Colombia,Caribbean(11) + 12 more
Venezuela,Caribbean(11) + 12 more
Grenada,Caribbean(11) + 12 more
Guatemala,Caribbean(11) + 12 more
Belize,Caribbean(11) + 12 more
Guyana,Caribbean(11) + 12 more
Honduras,Caribbean(11) + 12 more
Barbados,Caribbean(11) + 12 more
Trinidad and Tobago,Caribbean(11) + 12 more
Bahamas,Caribbean(11) + 12 more
Mexico,Caribbean(11) + 12 more
Dominica,Caribbean(11) + 12 more
Cuba,Caribbean(11) + 12 more
Uganda,Eastern Africa(10) + 24 more
Uzbekistan,Eastern Africa(10) + 24 more
Swaziland,Eastern Africa(10) + 24 more
Timor-Leste,Eastern Africa(10) + 24 more
Afghanistan,Eastern Africa(10) + 24 more
Lesotho,Eastern Africa(10) + 24 more
South Sudan,Eastern Africa(10) + 24 more
Andorra,Eastern Africa(10) + 24 more
Bhutan,Eastern Africa(10) + 24 more
Bolivia,Eastern Africa(10) + 24 more
Botswana,Eastern Africa(10) + 24 more
Burkina Faso,Eastern Africa(10) + 24 more
Burundi,Eastern Africa(10) + 24 more
Central African Republic,Eastern Africa(10) + 24 more
Chad,Eastern Africa(10) + 24 more
"Congo, Democratic Republic of",Eastern Africa(10) + 24 more
Eritrea,Eastern Africa(10) + 24 more
Ethiopia,Eastern Africa(10) + 24 more
Guinea-Bissau,Eastern Africa(10) + 24 more
Haiti,Eastern Africa(10) + 24 more
Iraq,Eastern Africa(10) + 24 more
"Korea, Democratic People's Republic",Eastern Africa(10) + 24 more
Kosovo,Eastern Africa(10) + 24 more
Zambia,Eastern Africa(10) + 24 more
Malawi,Eastern Africa(10) + 24 more
Mali,Eastern Africa(10) + 24 more
Nepal,Eastern Africa(10) + 24 more
Niger,Eastern Africa(10) + 24 more
Paraguay,Eastern Africa(10) + 24 more
Rwanda,Eastern Africa(10) + 24 more
San Marino,Eastern Africa(10) + 24 more
Somalia,Eastern Africa(10) + 24 more
Sudan,Eastern Africa(10) + 24 more
Zimbabwe,Eastern Africa(10) + 24 more
Belarus,Eastern Europe(4) + 7 more
Azerbaijan,Eastern Europe(4) + 7 more
Armenia,Eastern Europe(4) + 7 more
Moldova,Eastern Europe(4) + 7 more
Georgia,Eastern Europe(4) + 7 more
Russian Federation,Eastern Europe(4) + 7 more
Turkmenistan,Eastern Europe(4) + 7 more
Kazakhstan,Eastern Europe(4) + 7 more
Kyrgyzstan,Eastern Europe(4) + 7 more
Tajikistan,Eastern Europe(4) + 7 more
Ukraine,Eastern Europe(4) + 7 more
Israel,Northern Africa(5) + 5 more
Turkey,Northern Africa(5) + 5 more
Egypt,Northern Africa(5) + 5 more
Syria,Northern Africa(5) + 5 more
Monaco,Northern Africa(5) + 5 more
Libya,Northern Africa(5) + 5 more
Tunisia,Northern Africa(5) + 5 more
Algeria,Northern Africa(5) + 5 more
Morocco,Northern Africa(5) + 5 more
Lebanon,Northern Africa(5) + 5 more
Finland,Northern Europe(7) + 7 more
Belgium,Northern Europe(7) + 7 more
United Kingdom,Northern Europe(7) + 7 more
France,Northern Europe(7) + 7 more
Sweden,Northern Europe(7) + 7 more
Germany,Northern Europe(7) + 7 more
Netherlands,Northern Europe(7) + 7 more
Norway,Northern Europe(7) + 7 more
Italy,Northern Europe(7) + 7 more
Ireland,Northern Europe(7) + 7 more
Portugal,Northern Europe(7) + 7 more
Iceland,Northern Europe(7) + 7 more
Spain,Northern Europe(7) + 7 more
Denmark,Northern Europe(7) + 7 more
Argentina,South America(6) + 6 more
South Africa,South America(6) + 6 more
China,South America(6) + 6 more
Uruguay,South America(6) + 6 more
Canada,South America(6) + 6 more
United States,South America(6) + 6 more
Chile,South America(6) + 6 more
Ecuador,South America(6) + 6 more
Peru,South America(6) + 6 more
